scenario_id,scenario_title,application_id,brand_name,class_type,alcohol_content,proof,net_contents,bottler_producer,country_of_origin,government_warning,image_filename,expected_outcome,demo_description
pass-01,Pass Case 01: BOURBON,COLA-PASS-2026-01,ESTATE RESERVE BOURBON,KENTUCKY STRAIGHT BOURBON WHISKEY,45.0%,90,750 ML,"HIGHLAND DISTILLING CO., LOUISVILLE, KY",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_01_bourbon.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for BOURBON.
pass-02,Pass Case 02: SCOTCH,COLA-PASS-2026-02,ESTATE RESERVE SCOTCH,SINGLE MALT SCOTCH WHISKY,43.0%,86,750 ML,"GLEN LIVET DISTILLERY, SPEYSIDE",PRODUCT OF SCOTLAND,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_02_scotch.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for SCOTCH.
pass-03,Pass Case 03: RYE_WHISKEY,COLA-PASS-2026-03,ESTATE RESERVE RYE_WHISKEY,STRAIGHT RYE WHISKEY,50.0%,100,750 ML,"OLD OVERHOLT DISTILLING, PA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_03_rye_whiskey.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for RYE_WHISKEY.
pass-04,Pass Case 04: RED_WINE,COLA-PASS-2026-04,ESTATE RESERVE RED_WINE,CABERNET SAUVIGNON RED WINE,14.5%,N/A,750 ML,"NAPA VALLEY CELLARS, NAPA, CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_04_red_wine.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for RED_WINE.
pass-05,Pass Case 05: WHITE_WINE,COLA-PASS-2026-05,ESTATE RESERVE WHITE_WINE,CHARDONNAY WHITE WINE,13.5%,N/A,750 ML,"SONOMA COAST VINEYARDS, CA",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_05_white_wine.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for WHITE_WINE.
pass-06,Pass Case 06: ROSE_WINE,COLA-PASS-2026-06,ESTATE RESERVE ROSE_WINE,PROVENCE ROSE WINE,12.5%,N/A,750 ML,"DOMAINE DE LA ROSE, PROVENCE",PRODUCT OF FRANCE,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_06_rose_wine.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for ROSE_WINE.
pass-07,Pass Case 07: CHAMPAGNE,COLA-PASS-2026-07,ESTATE RESERVE CHAMPAGNE,BRUT CHAMPAGNE,12.0%,N/A,750 ML,"MAISON DE CHAMPAGNE, REIMS",PRODUCT OF FRANCE,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_07_champagne.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for CHAMPAGNE.
pass-08,Pass Case 08: TEQUILA_BLANCO,COLA-PASS-2026-08,ESTATE RESERVE TEQUILA_BLANCO,TEQUILA BLANCO 100% AGAVE,40.0%,80,750 ML,"AGAVE REAL S.A. DE C.V., JALISCO",PRODUCT OF MEXICO,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_08_tequila_blanco.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for TEQUILA_BLANCO.
pass-09,Pass Case 09: TEQUILA_ANEJO,COLA-PASS-2026-09,ESTATE RESERVE TEQUILA_ANEJO,TEQUILA ANEJO 100% AGAVE,40.0%,80,750 ML,"DON JULIO S.A., JALISCO",PRODUCT OF MEXICO,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_09_tequila_anejo.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for TEQUILA_ANEJO.
pass-10,Pass Case 10: DARK_RUM,COLA-PASS-2026-10,ESTATE RESERVE DARK_RUM,AGED DARK RUM,40.0%,80,750 ML,"CARIBBEAN DISTILLERS, BARBADOS",PRODUCT OF BARBADOS,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_10_dark_rum.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for DARK_RUM.
pass-11,Pass Case 11: WHITE_RUM,COLA-PASS-2026-11,ESTATE RESERVE WHITE_RUM,SUPERIOR WHITE RUM,37.5%,75,750 ML,"BACARDI BOTTLING, PUERTO RICO",PRODUCT OF PUERTO RICO,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_11_white_rum.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for WHITE_RUM.
pass-12,Pass Case 12: VODKA,COLA-PASS-2026-12,ESTATE RESERVE VODKA,PREMIUM GRAIN VODKA,40.0%,80,750 ML,"POLAR SPIRITS, MINNEAPOLIS, MN",PRODUCT OF USA,"GOVERNMENT WARNING: (1) ACCORDING TO THE SURGEON GENERAL, WOMEN SHOULD NOT DRINK ALCOHOLIC BEVERAGES DURING PREGNANCY BECAUSE OF THE RISK OF BIRTH DEFECTS. (2) CONSUMPTION OF ALCOHOLIC BEVERAGES IMPAIRS YOUR ABILITY TO DRIVE A CAR OR OPERATE MACHINERY, AND MAY CAUSE HEALTH PROBLEMS.",pass_12_vodka.png,PASS,Perfect match on all metadata fields & compliant CFR 16 warning for VODKA.
